cell_file!cell_idx!cell_type!chan1!chan2!col1!col2!cor!dataset1!dataset2!intr_cor!m1_layer!m2_layer!model1!model2!row1!row2!seed1!seed2!stim_type1!stim_type2
bipolars_late_2012.h5!0!bipolar!6!5!22!15!0.86033225!15-11-21b!15-10-07!0.7261589!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!13!13!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!6!amacrine!6!5!24!18!0.8937803!15-11-21b!15-10-07!0.7053026!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!18!19!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!3!amacrine!6!5!24!18!0.89355636!15-11-21b!15-10-07!0.7050126!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!17!18!1582290884!1582749400!naturalscene!naturalscene
unks_17-10-18.h5!4!unk!5!5!22!16!0.87228423!15-11-21b!15-10-07!0.6881693!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!17!17!1582290884!1582749400!naturalscene!naturalscene
bipolars_late_2012.h5!3!bipolar!6!2!30!23!0.85876113!15-11-21b!15-10-07!0.66998273!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!20!20!1582290884!1582749400!naturalscene!naturalscene
unks_17-10-18.h5!5!unk!5!5!25!19!0.8824413!15-11-21b!15-10-07!0.6675792!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!16!16!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!8!amacrine!5!5!23!17!0.8752434!15-11-21b!15-10-07!0.6632559!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!15!15!1582290884!1582749400!naturalscene!naturalscene
unks_17-10-18.h5!10!unk!4!5!23!17!0.89661866!15-11-21b!15-10-07!0.6549826!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!14!14!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!2!amacrine!5!2!28!22!0.84694284!15-11-21b!15-10-07!0.6456644!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!17!16!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!9!amacrine!6!5!24!18!0.9002037!15-11-21b!15-10-07!0.64214736!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!20!20!1582290884!1582749400!naturalscene!naturalscene
unks_17-10-18.h5!2!unk!5!2!28!22!0.8852287!15-11-21b!15-10-07!0.6398634!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!16!15!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!12!amacrine!5!2!29!23!0.83637875!15-11-21b!15-10-07!0.6364715!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!18!17!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!5!amacrine!3!3!27!21!0.80862343!15-11-21b!15-10-07!0.6226568!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!16!17!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!4!amacrine!5!5!22!16!0.8553198!15-11-21b!15-10-07!0.62205195!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!12!12!1582290884!1582749400!naturalscene!naturalscene
amacrines_late_2012.h5!14!amacrine!6!5!23!17!0.88800657!15-11-21b!15-10-07!0.61676204!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!16!17!1582290884!1582749400!naturalscene!naturalscene
unks_17-10-18.h5!13!unk!5!2!27!21!0.88356316!15-11-21b!15-10-07!0.6165588!sequential.0!sequential.0!../../training_scripts/convgc_bests/convgc_26_chans[8, 8]!../../training_scripts/convgc_bests/convgc_49_dataset15-10-07_stim_typenaturalscene!16!15!1582290884!1582749400!naturalscene!naturalscene
